,공원명,공원구분,소재지지번주소,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),관리기관명
17101,진말,어린이공원,경기도 부천시 심곡동 428-2,,흔들놀이기구 등 4개,,,,경기도 부천시청
17102,찬들,근린공원,"경기도 부천시 오정동 793, 794",,,화장실,,,경기도 부천시청
17103,청실,어린이공원,경기도 부천시 중동 1192,,그네 등 4개,화장실,,,경기도 부천시청
17104,청포도,어린이공원,경기도 부천시 작동 404,,흔들놀이기구 등 7개,,,,경기도 부천시청
17105,최희섭,근린공원,경기도 부천시 춘의동 산33,,,화장실,,,경기도 부천시청
17106,태양,어린이공원,경기도 부천시 상동 431,,그네 등 4개,화장실,,,경기도 부천시청
17107,펄벅,근린공원,경기도 부천시 심곡본동 산52,게이트볼장,,화장실,,,경기도 부천시청
17108,편한,어린이공원,경기도 부천시 송내동 463-107,,,,,,경기도 부천시청
17109,푸른,어린이공원,경기도 부천시 중동 1185,농구장,그네 등 3개,화장실,,,경기도 부천시청
17110,푸른솔,어린이공원,경기도 부천시 상동 520-13,,그네 등 7개,,,,경기도 부천시청
17111,하얀마을,어린이공원,경기도 부천시 상동 570-6,,조합놀이대 등 3개,,,,경기도 부천시청
17112,한림,어린이공원,경기도 부천시 괴안동 124-2,,그네 등 3개,화장실,,,경기도 부천시청
17113,한마음,어린이공원,경기도 부천시 중동 1217,,,화장실,,,경기도 부천시청
17114,한아름,어린이공원,경기도 부천시 상동 391-4,,조합놀이대 등 3개,화장실,,,경기도 부천시청
17115,함박,근린공원,경기도 부천시 옥길동 749,배드민턴장,,,,,경기도 부천시청
17116,공원 4(도청신도시2),근린공원,경상북도 예천군 호명면 산합리 431-1,,,,,,경상북도 예천군청
17117,대화5공원,어린이공원,강원도 평창군 대화면 대화리 1954-8,,,파고라,,,강원도 평창군청
17118,신리제1어린이공원,어린이공원,강원도 평창군 대화면 신리 664-1,,,,,,강원도 평창군청
17119,횡계제5어린이공원,어린이공원,강원도 평창군 대관령면 횡계리 261-1,,,,,,강원도 평창군청
17120,횡계제6어린이공원,어린이공원,강원도 평창군 대관령면 횡계리 294-4,,,,,,강원도 평창군청
17121,횡계제7어린이공원,어린이공원,강원도 평창군 대관령면 횡계리 675,,,,,,강원도 평창군청
17122,재산어린이공원,어린이공원,강원도 평창군 용평면 재산리 1427-2,,,,,,강원도 평창군청
17123,서부공원,근린공원,경상북도 영양군 영양읍 서부리 123,,,화장실,,,경상북도 영양군청
17124,입암공원,근린공원,경상북도 영양군 입암면 신구리 산27-5,,,,,,경상북도 영양군청
17125,오복공원,근린공원,전라남도 여수시 경호동 239-1,,,,,,전라남도 여수시청
17126,대경도공원,근린공원,전라남도 여수시 경호동 193-3,,,,,,전라남도 여수시청
17127,월산공원,어린이공원,전라남도 여수시 율촌면 월산리 1485-2,,조합놀이대,,,,전라남도 여수시청
17128,성산공원,근린공원,전라남도 여수시 화장동 949,족구장+농구장,그네+흔들놀이기구+조합놀이대,화장실,공연장,파고라+벤치+정자+음수대,전라남도 여수시청
17129,여천체육공원,체육공원,전라남도 여수시 시전동 109,,,,,,전라남도 여수시청
17130,주공공원,어린이공원,전라남도 여수시 신기동 4,,,,,파고라+음수대,전라남도 여수시청
17131,들몰공원,어린이공원,전라남도 여수시 신기동 5,,,화장실,,정자+음수대,전라남도 여수시청
17132,기전공원,어린이공원,전라남도 여수시 신기동 7,,흔들놀이기구+조합놀이대,,,파고라,전라남도 여수시청
17133,월하공원,어린이공원,전라남도 여수시 신기동 132,농구장,그네+조합놀이대,화장실,,정자+벤치,전라남도 여수시청
17134,시목공원,어린이공원,전라남도 여수시 신기동 119,,그네+조합놀이대,,,파고라+벤치+음수대,전라남도 여수시청
17135,망마공원,어린이공원,전라남도 여수시 신기동 61,,그네+조합놀이대,,,정자+벤치,전라남도 여수시청
17136,신기공원,어린이공원,전라남도 여수시 신기동 35,농구장,그네+흔들놀이기구+조합놀이대,,,파고라+정자+벤치+음수대,전라남도 여수시청
17137,학류정공원,어린이공원,전라남도 여수시 신기동 30,,조합놀이대,,,파고라+정자+벤치,전라남도 여수시청
17138,신화공원,소공원,전라남도 여수시 신기동 141,,,,,파고라,전라남도 여수시청
17139,안산공원,소공원,전라남도 여수시 학동 113,체육시설,그네+조합놀이대,,,벤치,전라남도 여수시청
17140,대초공원,어린이공원,전라남도 여수시 율촌면 월산리 1503,,,,,,전라남도 여수시청
17141,민드래미공원,어린이공원,전라남도 여수시 둔덕동 649,,,,,정자,전라남도 여수시청
17142,녹지원공원,어린이공원,전라남도 여수시 둔덕동 656,농구장,조합놀이대,,,정자+벤치+음수대,전라남도 여수시청
17143,하얀공원,어린이공원,경기도 성남시 분당구 구미동 108,야외운동기구+테니스장,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17144,오리공원,어린이공원,경기도 성남시 분당구 구미동 114,야외운동기구+다목적운동장,어린이놀이터,벤치+파고라+음수전,,바닥분수,경기도 성남시 분당구 녹지공원과
17145,수평공원,어린이공원,경기도 성남시 분당구 구미동 138,야외운동기구,어린이놀이터,벤치+음수전,,,경기도 성남시 분당구 녹지공원과
