업종명,사업장명,골프장면적,골프장홀수,정제도로명주소,정제지번주소,정제우편번호,정제WGS84경도,정제WGS84위도
회원제,플라자,1899082,36,경기도 용인시 처인구 남사읍 봉무로153번길 79,경기도 용인시 처인구 남사읍 통삼리 1-1번지,17119,127.1469837662,37.1336314038
비회원제,태광(비회원),391788,9,경기도 용인시 기흥구 흥덕4로 77,경기도 용인시 기흥구 신갈동 506-1번지,16947,127.0890835842,37.2785710892
회원제,골드,1366197,36,경기도 용인시 기흥구 기흥단지로 398,경기도 용인시 기흥구 고매동 5-48번지,17087,127.1383407382,37.2179504052
회원제,88,2814762,36,경기도 용인시 기흥구 석성로521번길 169,경기도 용인시 기흥구 청덕동 80-2번지,16893,127.1604622201,37.3067315461
회원제,신원,1721377,27,경기도 용인시 처인구 이동읍 이원로 225,경기도 용인시 처인구 이동읍 묵리 624번지,17133,127.2413812390,37.1818122569
회원제,아시아나,2230679,36,경기도 용인시 처인구 양지면 양대로 290,경기도 용인시 처인구 양지면 대대리 854-34번지,17155,127.2893856802,37.2545247440
회원제,코리아,1351017,27,경기도 용인시 처인구 이동읍 기흥단지로 579,경기도 용인시 처인구 이동읍 서리 784-7번지,17125,127.1547902224,37.2193606113
회원제,한림용인,1584819,27,경기도 용인시 처인구 남사읍 경기동로 628,경기도 용인시 처인구 남사읍 창리 454-3번지,17122,127.1829099444,37.1255841153
비회원제,레이크사이드(비회원),3198002,36,경기도 용인시 처인구 모현읍 능원로 181,경기도 용인시 처인구 모현읍 능원리 산5-12번지,16887,127.1783872029,37.3213751410
회원제,은화삼,946086,18,경기도 용인시 처인구 백옥대로 860-38,경기도 용인시 처인구 호동 16-38번지,17140,127.2131167898,37.2141709022
비회원제,지산(대중),184356,9,경기도 용인시 처인구 원삼면 죽양대로2000번길 60,경기도 용인시 처인구 원삼면 맹리 1-29번지,17165,127.3358408486,37.2098794831
비회원제,블루원용인(비회원),439688,9,경기도 용인시 처인구 원삼면 보개원삼로1534번길 40,경기도 용인시 처인구 원삼면 목신리 356-10번지,17170,127.3259391728,37.1341824910
비회원제,글렌로스,465916,9,경기도 용인시 처인구 포곡읍 에버랜드로562번길 69,경기도 용인시 처인구 포곡읍 가실리 65-3번지,17021,127.1857339160,37.2944702902
비회원제,석천,241685,9,경기도 용인시 처인구 백암면 황새울로 255,경기도 용인시 처인구 백암면 석천리 747-1번지,17182,127.3440916262,37.1106175044
비회원제,써닝포인트,1032853,18,경기도 용인시 처인구 백암면 고안로51번길 205,경기도 용인시 처인구 백암면 고안리 622-3번지,17180,127.4202108703,37.1430993320
회원제,에이치원,1097458,18,경기도 이천시 호법면 장자터로 115,경기도 이천시 호법면 매곡리 704-2번지,17396,127.4033420252,37.1882658158
회원제,뉴스프링빌,1584094,36,경기도 이천시 모가면 사실로527번길 158,경기도 이천시 모가면 두미리 419번지,17406,127.4314045964,37.1542659198
회원제,비에이비스타,1580588,36,경기도 이천시 모가면 어농로 272,경기도 이천시 모가면 어농리 386-1번지,17406,127.4168818722,37.1805960356
